Date,Open,High,Low,Close,Adj Close,Volume
2023-03-15,134.87,135.74,134.07,134.94,134.94,61400000
2023-03-16,135.17,136.09,134.2,135.1,135.1,63000000
2023-03-17,135.53,136.57,134.62,135.32,135.32,62500000
2023-03-20,135.25,136.76,134.45,135.6,135.6,64100000
2023-03-21,135.31,136.32,134.41,135.52,135.52,65700000
2023-03-22,135.43,136.42,134.73,135.5,135.5,67300000
2023-03-23,135.61,136.65,134.74,135.54,135.54,68900000
2023-03-24,135.85,137.01,134.74,135.64,135.64,70500000
2023-03-27,135.45,136.6,134.75,135.8,135.8,45000000
2023-03-28,135.81,136.94,135.01,136.02,136.02,46600000
2023-03-29,136.23,137.34,135.33,136.3,136.3,48200000
2023-03-30,136.29,137.45,135.52,136.22,136.22,49800000
2023-03-31,136.41,137.21,135.4,136.2,136.2,51400000
2023-04-03,135.89,137.16,134.99,136.24,136.24,53000000
2023-04-04,136.13,137.38,135.43,136.34,136.34,52500000
2023-04-05,136.43,137.66,135.63,136.5,136.5,54100000
2023-04-06,136.79,137.59,135.82,136.72,136.72,55700000
2023-04-07,137.21,138.13,136.3,137.0,137.0,57300000
2023-04-10,136.57,137.96,135.77,136.92,136.92,58900000
2023-04-11,136.69,138.06,135.79,136.9,136.9,60500000
2023-04-12,136.87,137.74,136.17,136.94,136.94,60000000
2023-04-13,137.11,138.03,136.24,137.04,137.04,61600000
2023-04-14,137.41,138.45,136.3,137.2,137.2,63200000
2023-04-17,137.07,138.58,136.37,137.42,137.42,64800000
2023-04-18,137.49,138.5,136.69,137.7,137.7,66400000
2023-04-19,137.55,138.54,136.65,137.62,137.62,68000000
2023-04-20,137.67,138.71,136.9,137.6,137.6,67500000
2023-04-21,137.85,139.01,136.84,137.64,137.64,69100000
2023-04-24,137.39,138.54,136.49,137.74,137.74,45700000
2023-04-25,137.69,138.82,136.99,137.9,137.9,47300000
2023-04-26,138.05,139.16,137.25,138.12,138.12,48900000
2023-04-27,138.47,139.63,137.5,138.4,138.4,50500000
2023-04-28,138.53,139.33,137.62,138.32,138.32,50000000
2023-05-01,137.95,139.22,137.15,138.3,138.3,51600000
2023-05-02,138.13,139.38,137.23,138.34,138.34,53200000
2023-05-03,138.37,139.6,137.67,138.44,138.44,54800000
2023-05-04,138.67,139.47,137.8,138.6,138.6,56400000
2023-05-05,139.03,139.95,137.92,138.82,138.82,58000000
2023-05-08,138.75,140.14,138.05,139.1,139.1,57500000
2023-05-09,138.81,140.18,138.01,139.02,139.02,59100000
2023-05-10,138.93,139.8,138.03,139.0,139.0,60700000
2023-05-11,139.11,140.03,138.34,139.04,139.04,62300000
2023-05-12,139.35,140.39,138.34,139.14,139.14,63900000
2023-05-15,138.95,140.46,138.05,139.3,139.3,65500000
2023-05-16,139.31,140.32,138.61,139.52,139.52,65000000
2023-05-17,139.73,140.72,138.93,139.8,139.8,66600000
2023-05-18,139.79,140.83,138.82,139.72,139.72,68200000
2023-05-19,139.91,141.07,139.0,139.7,139.7,69800000
2023-05-22,139.39,140.54,138.59,139.74,139.74,46400000
2023-05-23,139.63,140.76,138.73,139.84,139.84,48000000
2023-05-24,139.93,141.04,139.23,140.0,140.0,47500000
2023-05-25,140.29,141.45,139.42,140.22,140.22,49100000
2023-05-26,140.71,141.51,139.6,140.5,140.5,50700000
2023-05-29,140.07,141.34,139.37,140.42,140.42,52300000
2023-05-30,140.19,141.44,139.39,140.4,140.4,53900000
2023-05-31,140.37,141.6,139.47,140.44,140.44,55500000
2023-06-01,140.61,141.41,139.84,140.54,140.54,55000000
2023-06-02,140.91,141.83,139.9,140.7,140.7,56600000
2023-06-05,140.57,141.96,139.67,140.92,140.92,58200000
2023-06-06,140.99,142.36,140.29,141.2,141.2,59800000
2023-06-07,141.05,141.92,140.25,141.12,141.12,61400000
2023-06-08,141.17,142.09,140.2,141.1,141.1,63000000
2023-06-09,141.35,142.39,140.44,141.14,141.14,62500000
2023-06-12,140.89,142.4,140.09,141.24,141.24,64100000
2023-06-13,141.19,142.2,140.29,141.4,141.4,65700000
2023-06-14,141.55,142.54,140.85,141.62,141.62,67300000
2023-06-15,141.97,143.01,141.1,141.9,141.9,68900000
2023-06-16,142.03,143.19,140.92,141.82,141.82,70500000
2023-06-19,141.45,142.6,140.75,141.8,141.8,45000000
2023-06-20,141.63,142.76,140.83,141.84,141.84,46600000
2023-06-21,141.87,142.98,140.97,141.94,141.94,48200000
2023-06-22,142.17,143.33,141.4,142.1,142.1,49800000
2023-06-23,142.53,143.33,141.52,142.32,142.32,51400000
2023-06-26,142.25,143.52,141.35,142.6,142.6,53000000
2023-06-27,142.31,143.56,141.61,142.52,142.52,52500000
2023-06-28,142.43,143.66,141.63,142.5,142.5,54100000
2023-06-29,142.61,143.41,141.64,142.54,142.54,55700000
2023-06-30,142.85,143.77,141.94,142.64,142.64,57300000
2023-07-03,142.45,143.84,141.65,142.8,142.8,58900000
2023-07-04,142.81,144.18,141.91,143.02,143.02,60500000
2023-07-05,143.23,144.1,142.53,143.3,143.3,60000000
2023-07-06,143.29,144.21,142.42,143.22,143.22,61600000
2023-07-07,143.41,144.45,142.3,143.2,143.2,63200000
2023-07-10,142.89,144.4,142.19,143.24,143.24,64800000
2023-07-11,143.13,144.14,142.33,143.34,143.34,66400000
2023-07-12,143.43,144.42,142.53,143.5,143.5,68000000
2023-07-13,143.79,144.83,143.02,143.72,143.72,67500000
2023-07-14,144.21,145.37,143.2,144.0,144.0,69100000
2023-07-17,143.57,144.72,142.67,143.92,143.92,45700000
2023-07-18,143.69,144.82,142.99,143.9,143.9,47300000
2023-07-19,143.87,144.98,143.07,143.94,143.94,48900000
2023-07-20,144.11,145.27,143.14,144.04,144.04,50500000
2023-07-21,144.41,145.21,143.5,144.2,144.2,50000000
2023-07-24,144.07,145.34,143.27,144.42,144.42,51600000
2023-07-25,144.49,145.74,143.59,144.7,144.7,53200000
2023-07-26,144.55,145.78,143.85,144.62,144.62,54800000
2023-07-27,144.67,145.47,143.8,144.6,144.6,56400000
2023-07-28,144.85,145.77,143.74,144.64,144.64,58000000
2023-07-31,144.39,145.78,143.69,144.74,144.74,57500000
2023-08-01,144.69,146.06,143.89,144.9,144.9,59100000
2023-08-02,145.05,145.92,144.15,145.12,145.12,60700000
2023-08-03,145.47,146.39,144.7,145.4,145.4,62300000
2023-08-04,145.53,146.57,144.52,145.32,145.32,63900000
2023-08-07,144.95,146.46,144.05,145.3,145.3,65500000
2023-08-08,145.13,146.14,144.43,145.34,145.34,65000000
2023-08-09,145.37,146.36,144.57,145.44,145.44,66600000
2023-08-10,145.67,146.71,144.7,145.6,145.6,68200000
2023-08-11,146.03,147.19,145.12,145.82,145.82,69800000
2023-08-14,145.75,146.9,144.95,146.1,146.1,46400000
2023-08-15,145.81,146.94,144.91,146.02,146.02,48000000
2023-08-16,145.93,147.04,145.23,146.0,146.0,47500000
2023-08-17,146.11,147.27,145.24,146.04,146.04,49100000
2023-08-18,146.35,147.15,145.24,146.14,146.14,50700000
2023-08-21,145.95,147.22,145.25,146.3,146.3,52300000
2023-08-22,146.31,147.56,145.51,146.52,146.52,53900000
2023-08-23,146.73,147.96,145.83,146.8,146.8,55500000
2023-08-24,146.79,147.59,146.02,146.72,146.72,55000000
2023-08-25,146.91,147.83,145.9,146.7,146.7,56600000
2023-08-28,146.39,147.78,145.49,146.74,146.74,58200000
2023-08-29,146.63,148.0,145.93,146.84,146.84,59800000
2023-08-30,146.93,147.8,146.13,147.0,147.0,61400000
2023-08-31,147.29,148.21,146.32,147.22,147.22,63000000
2023-09-01,147.71,148.75,146.8,147.5,147.5,62500000
2023-09-04,147.07,148.58,146.27,147.42,147.42,64100000
2023-09-05,147.19,148.2,146.29,147.4,147.4,65700000
2023-09-06,147.37,148.36,146.67,147.44,147.44,67300000
2023-09-07,147.61,148.65,146.74,147.54,147.54,68900000
2023-09-08,147.91,149.07,146.8,147.7,147.7,70500000
2023-09-11,147.57,148.72,146.87,147.92,147.92,45000000
2023-09-12,147.99,149.12,147.19,148.2,148.2,46600000
2023-09-13,148.05,149.16,147.15,148.12,148.12,48200000
2023-09-14,148.17,149.33,147.4,148.1,148.1,49800000
2023-09-15,148.35,149.15,147.34,148.14,148.14,51400000
2023-09-18,147.89,149.16,146.99,148.24,148.24,53000000
2023-09-19,148.19,149.44,147.49,148.4,148.4,52500000
2023-09-20,148.55,149.78,147.75,148.62,148.62,54100000
2023-09-21,148.97,149.77,148.0,148.9,148.9,55700000
2023-09-22,149.03,149.95,148.12,148.82,148.82,57300000
2023-09-25,148.45,149.84,147.65,148.8,148.8,58900000
2023-09-26,148.63,150.0,147.73,148.84,148.84,60500000
2023-09-27,148.87,149.74,148.17,148.94,148.94,60000000
2023-09-28,149.17,150.09,148.3,149.1,149.1,61600000
2023-09-29,149.53,150.57,148.42,149.32,149.32,63200000
2023-10-02,149.25,150.76,148.55,149.6,149.6,64800000
2023-10-03,149.31,150.32,148.51,149.52,149.52,66400000
2023-10-04,149.43,150.42,148.53,149.5,149.5,68000000
2023-10-05,149.61,150.65,148.84,149.54,149.54,67500000
2023-10-06,149.85,151.01,148.84,149.64,149.64,69100000
2023-10-09,149.45,150.6,148.55,149.8,149.8,45700000
2023-10-10,149.81,150.94,149.11,150.02,150.02,47300000
2023-10-11,150.23,151.34,149.43,150.3,150.3,48900000
2023-10-12,150.29,151.45,149.32,150.22,150.22,50500000
2023-10-13,150.41,151.21,149.5,150.2,150.2,50000000
2023-10-16,149.89,151.16,149.09,150.24,150.24,51600000
2023-10-17,150.13,151.38,149.23,150.34,150.34,53200000
2023-10-18,150.43,151.66,149.73,150.5,150.5,54800000
2023-10-19,150.79,151.59,149.92,150.72,150.72,56400000
2023-10-20,151.21,152.13,150.1,151.0,151.0,58000000
2023-10-23,150.57,151.96,149.87,150.92,150.92,57500000
2023-10-24,150.69,152.06,149.89,150.9,150.9,59100000
2023-10-25,150.87,151.74,149.97,150.94,150.94,60700000
2023-10-26,151.11,152.03,150.34,151.04,151.04,62300000
2023-10-27,151.41,152.45,150.4,151.2,151.2,63900000
2023-10-30,151.07,152.58,150.17,151.42,151.42,65500000
2023-10-31,151.49,152.5,150.79,151.7,151.7,65000000
2023-11-01,151.55,152.54,150.75,151.62,151.62,66600000
2023-11-02,151.67,152.71,150.7,151.6,151.6,68200000
2023-11-03,151.85,153.01,150.94,151.64,151.64,69800000
2023-11-06,151.39,152.54,150.59,151.74,151.74,46400000
2023-11-07,151.69,152.82,150.79,151.9,151.9,48000000
2023-11-08,152.05,153.16,151.35,152.12,152.12,47500000
2023-11-09,152.47,153.63,151.6,152.4,152.4,49100000
2023-11-10,152.53,153.33,151.42,152.32,152.32,50700000
2023-11-13,151.95,153.22,151.25,152.3,152.3,52300000
2023-11-14,152.13,153.38,151.33,152.34,152.34,53900000
2023-11-15,152.37,153.6,151.47,152.44,152.44,55500000
2023-11-16,152.67,153.47,151.9,152.6,152.6,55000000
2023-11-17,153.03,153.95,152.02,152.82,152.82,56600000
2023-11-20,152.75,154.14,151.85,153.1,153.1,58200000
2023-11-21,152.81,154.18,152.11,153.02,153.02,59800000
2023-11-22,152.93,153.8,152.13,153.0,153.0,61400000
2023-11-23,153.11,154.03,152.14,153.04,153.04,63000000
2023-11-24,153.35,154.39,152.44,153.14,153.14,62500000
2023-11-27,152.95,154.46,152.15,153.3,153.3,64100000
2023-11-28,153.31,154.32,152.41,153.52,153.52,65700000
2023-11-29,153.73,154.72,153.03,153.8,153.8,67300000
2023-11-30,153.79,154.83,152.92,153.72,153.72,68900000
2023-12-01,153.91,155.07,152.8,153.7,153.7,70500000
2023-12-04,153.39,154.54,152.69,153.74,153.74,45000000
2023-12-05,153.63,154.76,152.83,153.84,153.84,46600000
2023-12-06,153.93,155.04,153.03,154.0,154.0,48200000
2023-12-07,154.29,155.45,153.52,154.22,154.22,49800000
2023-12-08,154.71,155.51,153.7,154.5,154.5,51400000
2023-12-11,154.07,155.34,153.17,154.42,154.42,53000000
2023-12-12,154.19,155.44,153.49,154.4,154.4,52500000
2023-12-13,154.37,155.6,153.57,154.44,154.44,54100000
2023-12-14,154.61,155.41,153.64,154.54,154.54,55700000
2023-12-15,154.91,155.83,154.0,154.7,154.7,57300000
2023-12-18,154.57,155.96,153.77,154.92,154.92,58900000
2023-12-19,154.99,156.36,154.09,155.2,155.2,60500000
2023-12-20,155.05,155.92,154.35,155.12,155.12,60000000
2023-12-21,155.17,156.09,154.3,155.1,155.1,61600000
2023-12-22,155.35,156.39,154.24,155.14,155.14,63200000
2023-12-25,154.89,156.4,154.19,155.24,155.24,64800000
2023-12-26,155.19,156.2,154.39,155.4,155.4,66400000
2023-12-27,155.55,156.54,154.65,155.62,155.62,68000000
2023-12-28,155.97,157.01,155.2,155.9,155.9,67500000
2023-12-29,156.03,157.19,155.02,155.82,155.82,69100000
